daty;WIBOR_1M;WIBOR_3M;WIBOR_6M;SWAP_1Y;SWAP_2Y;SWAP_3Y;SWAP_4Y;SWAP_5Y;SWAP_6Y;SWAP_7Y;SWAP_8Y;SWAP_9Y;SWAP_10Y
2010-09-30;3,606818182;3,821363636;4,018636364;4,289727273;4,638409091;4,818045455;4,915818182;4,971318182;5,006590909;5,019318182;5,005772727;5,001409091;4,989636364
2010-10-29;3,61047619;3,832380952;4,043333333;4,355809524;4,71952381;4,892619048;4,993333333;5,051428571;5,078333333;5,086142857;5,092380952;5,08647619;5,08247619
2010-11-30;3,6095;3,855;4,054;4,454136364;4,872909091;5,103863636;5,24;5,313863636;5,352863636;5,372954545;5,378409091;5,376272727;5,364090909
2010-12-31;3,644782609;3,915217391;4,141304348;4,463304348;4,876956522;5,148043478;5,333478261;5,453478261;5,52826087;5,57326087;5,598826087;5,610521739;5,610434783
2011-01-31;3,7425;4,0105;4,2505;4,681395238;5,116638095;5,354304762;5,512866667;5,607395238;5,659347619;5,687971429;5,704004762;5,709252381;5,7062
2011-02-28;3,867;4,114;4,3405;4,75957;5,2031;5,446305;5,565565;5,621305;5,635075;5,64481;5,6433;5,637045;5,635305
2011-03-31;3,904782609;4,178695652;4,400434783;4,774217391;5,1967;5,44836087;5,600004348;5,6518;5,661308696;5,660556522;5,656582609;5,6502;5,647165217
2011-04-29;4,0635;4,2705;4,4805;4,915357143;5,304895238;5,531271429;5,661019048;5,710428571;5,722066667;5,724485714;5,721885714;5,717966667;5,710857143
2011-05-31;4,265714286;4,4;4,575714286;4,922390909;5,221904545;5,407059091;5,520077273;5,559059091;5,571581818;5,575981818;5,575740909;5,570981818;5,562213636
2011-06-30;4,537619048;4,610952381;4,702380952;4,991418182;5,137722727;5,241272727;5,312690909;5,358413636;5,384022727;5,400781818;5,411909091;5,418640909;5,418995455
2011-07-29;4,616666667;4,700952381;4,767142857;4,98262381;5,052557143;5,141609524;5,210685714;5,258852381;5,298019048;5,32747619;5,350214286;5,366433333;5,374190476
2011-08-31;4,613636364;4,716363636;4,832272727;4,739778261;4,669730435;4,698073913;4,769130435;4,833847826;4,8833;4,930752174;4,967608696;4,995530435;5,018769565
2011-09-30;4,628181818;4,745909091;4,853181818;4,681031818;4,613395455;4,624322727;4,674554545;4,735904545;4,787963636;4,829554545;4,8616;4,885922727;4,902063636
2011-10-31;4,661428571;4,802380952;4,883333333;4,777009524;4,681171429;4,674509524;4,718338095;4,782142857;4,839047619;4,883819048;4,919047619;4,944295238;4,961419048
2011-11-30;4,732;4,9395;4,953;4,9291;4,815463636;4,825463636;4,879559091;4,941604545;4,989559091;5,026604545;5,055240909;5,073872727;5,085468182
2011-12-30;4,763809524;4,982380952;4,991904762;4,942636364;4,808636364;4,793181818;4,834545455;4,883863636;4,939;4,979772727;5,008636364;5,027727273;5,035
